User,Tweet,Language,Location
andriisedniev,Stage Fright? — Here’s a Solution You Won’t Believe! https://t.co/Uf6SbVMYKM #stage #fear #anxiety #publicspeaking #speak https://t.co/CJ6HpzPQpk,en,"Dallas, TX"
vkararwa,"Three Key Ways To Avoid Depression And #Anxiety As An Entrepreneur
https://t.co/PlwFSR5UsB https://t.co/Dg13hSM4d6",en-gb,"London, England"
LizABee_gfx,"https://t.co/pvjukIO5R1
.
.
.
.
 #BrokenDollGamers #MysticMooners #BeautyGamers #jokerswild #PrimeGamers #bethelight  #chroniclyme #ChronicPain #makekratomlegal #fibromyalgia #Gamer #invisableillness #depression #anxiety #butyoudontlooksick #sickofbeingsick #chronicallyfab #cbd https://t.co/QqtlenkD0k",en,"Indiana, USA"
gladiatorcoach,What is your stress level 1 - 3 - 5? How do you reduce it? #MemorialDayWeekend #leadership #edleader #business #entrepreneurship #CEO #edSupt #anxiety #mentalhealth #spokane #vegas #Portland #leaderthinktank,en,USA
victorBiii,RT @ChildrensColo: Parents may be able to prevent future #anxiety and #depression by helping their kids learn to manage #stress early. See what our experts suggest: https://t.co/Qtqt1z1rEx,en,Greeley CO
triggleepuff,RT @PsychCentral: Work Stress and Trouble Sleeping Can Be Toxic Combination https://t.co/59TFDjwikA #Anxiety https://t.co/jmxSzzuYfc,en,United States
susan_az,"RT @MariannePestana: Tune in Today at 8pmET/5pm PT for #MomentswithMarianne radio show with special guest @BeSophro on her new #book The Life-Changing Power of #Sophrology. @NewWorldLibrary On @iHeartRadio Listen LIVE https://t.co/Mgy8pOj5Wx 
#bookclub #books #fear #PTSD #anxiety https://t.co/sRCP7APzWo",en,"Scottsdale, AZ"
DrBonnie360,"#Anxiety affects almost everyone - here are some tips to calm down when you feel anxious:
https://t.co/DlCKFErdPn",en,"SF, LA, SD"
PsychCentralPro,RT @PsychCentral: Work Stress and Trouble Sleeping Can Be Toxic Combination https://t.co/59TFDjwikA #Anxiety https://t.co/jmxSzzuYfc,en,"Newburyport, MA"
ElleAyEsse,"Have you ever been side tracked while driving, and when you focus your attention back to the lane in front of you, you see break lights? So you slam your breaks and your heart races, sweat beading your brow? That's what #anxiety feels like.",en,Midwestern USA
lucy_at_home,"""I have a little superpower..."" - a poem about anxiety #mentalhealth #anxiety https://t.co/kryVHShAjw https://t.co/m9eFULHlS4",en,"Yorkshire, England"
EmotionalLife,RT @PsychCentral: Work Stress and Trouble Sleeping Can Be Toxic Combination https://t.co/59TFDjwikA #Anxiety https://t.co/jmxSzzuYfc,en,"Seattle, WA"
PsychCentral,Work Stress and Trouble Sleeping Can Be Toxic Combination https://t.co/59TFDjwikA #Anxiety https://t.co/jmxSzzuYfc,en,"Newburyport, MA"
lisabuyer,The latest The Lisa Buyer #Yoga Daily! https://t.co/TxpgThqQHX #anxiety #superhuman,en,"Celebration, Florida"
tweediehypnosis,"Combining Psychotherapy, NLP and Hypnosis to end negative thoughts and behavioural patterns.

See my website for more: https://t.co/4sNlUzhU8s
 
#hypnosis #hypnotherapist #wellness #anxiety #transformation #mentalhealth #therapy #depression #happiness #weightloss https://t.co/fvAsq7VvhX",en,"Adelaide, South Australia"
DanielleThorne,"RT @INFJPhD: The story of my life as an #introvert! Stop draining my energy, dudes. Need to relax &amp; recharge. Other #introverts feel me?
#INFJ #amwriting #introvertlife #WritingCommunity #HSP #anxiety #introvertproblems #empath https://t.co/e2AZsraxQ5",en,USA
riverside,"Depression and anxiety, can you have both? Read about it here: https://t.co/BxDF3HITgm #depression #anxiety #depressionandanxiety #healthquestions #riverside",en,Eastern Virginia
jlubas1125,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en,"Hercules, CA"
ricornelio,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",es,"guadalajara jal, mexico"
MHIIR_14,"RT @MHIIR_14: #mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en,Worldwide
MHIIR_14,"RT @MHIIR_14: PTSD is PTSD!

#PostTraumaticStressDisorder #PTSD #PTSDisPTSD #ComplexPostTraumaticStressDisorder #CPTSD #ComplexPTSD #PTSDAwareness #Trauma #Abuse #stress #depression #anxiety #MentalHealth #MentalHealthDisorder #mentalillness @MHIIR_14 https://t.co/pJJjvtc7s8",en,Worldwide
2016Disclosure,#Anxiety and #Fear – #Akatu – #PleiadianCollective https://t.co/mVKz4bcsVN di @2016disclosure,it,Italy
Laura_Greaves,"My sweet old guy, getting better every day ?
.
.
.
#thedogthatworries #dontmesswithtexas #anxiousdog #anxiety #toller #tollare #tolleri #tollersofinstagram #tolleroftheday #grandtolleralliance… https://t.co/LLNzFCXWV0",en,"Blue Mountains/Sydney, Australia"
