User,Tweet,Language,Location
MHIIR_14,"RT @MHIIR_14: #mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en,Worldwide
taylorraubreyy,Jk going on a date tonight :/???? #bipolar,en,"Vero Beach, FL"
clearviewwomens,The Truth About Borderline Personality Disorder - https://t.co/3ge2j9NZI8 #bpd #mentalhealth #mentalillness #endthestigma #recovery #treatment #awareness #psychology #psychologist #therapy #therapist #dbt #cbt #borderline #bipolar #depression #anxiety #ptsd #trauma,en,Los Angeles
mmmoray,"""Lucho cada día para no suicidarme"": Sinead O'Connor relata su vida con trastorno #bipolar https://t.co/E5IzAPIdyM https://t.co/iQnMe7Zp76",es,"Buenos Aires, Argentina"
J_La_Shae,"Facts! 
#neverjudge ?
? #epilepsy       ?#anxiety
? #depression  ?#ptsd
? #lupus ?#cancer 
?#bipolar ?#ms ? #arthritis  
??#fibromyalgia 
? #heartdisease  #autism 
? #musculardystrophy
? #chronsdisease  
? #myalgicencephalomyelitis  #getinformed https://t.co/GOfuVeV5vi",en,Chi town Grown?
ClearviewTreats,Changing our Approach to Children's Mental Health - https://t.co/tOuouIRRwF #mentalhealth #mentalillness #endthestigma #recovery #treatment #awareness #psychology #psychologist #therapy #therapist #dbt #cbt #bpd #borderline #bipolar #depression #anxiety #ptsd #trauma,en,"Los Angeles, CA"
woctxphotog,"Will You Please #Help a #creative #bipolar #visionary, I am in desperate need of raising $10 ASAP. PLEASE! #HELP ASAP https://t.co/hglYybqRWz https://t.co/gmSycu3TZ9",en,Scurry TX
New_Beginnings_,"People who have #bipolar disorder may be more likely to later develop #Parkinson’s disease than people who do not have bipolar disorder, according to a recent study. https://t.co/ctYMeZS156 #mentalhealth",en,"Lenexa, KS"
clearviewwomens,What Prevents People from Seeking Mental Health Treatment? https://t.co/1o4q6pFIV7 #mentalhealth #mentalillness #endthestigma #recovery #treatment #awareness #psychology #psychologist #therapy #therapist #dbt #cbt #bpd #borderline #bipolar #depression #anxiety #ptsd #trauma,en,Los Angeles
Denisclosernow,@NaBocaDo_Povo #Bipolar,pt,"Campo Belo, Brasil"
HealingToolKit,RT @ShawnParker2013: Can Bipolar Disorder be confused with ADHD? https://t.co/QCkWecLA3x #bipolar #ADHD #mentalhealth #parenting,en,"Seattle, WA"
Lukeimapoem,"Sound of  Mind- #Adventures in #Schizophrenia by Prof Mustard 
https://t.co/pcM0MkUK5j    #Bipolar #MentalHealth #MentalHealthAwareness #mentalhealthinfocus #MentalHealthMatters #mentalillnessmeans #mentalillness #bookbuzz #amwriting #WritingCommmunity SET YOUR OWN PRICE! https://t.co/VDbqQBKtyl",en,"Virginia Beach, VA"
Lukeimapoem,"SET UR OWN PRICE #LoveBooks Click&gt;https://t.co/olqckMzWMh    Chase, dealing w #schizophrenia #bipolar #addiction &amp; #alcoholism must go on a Quest to save his unborn daughter by tossing his brain into the fire of Sain.  #Urbanfantasy #Fantasy #Romance #amreading #WritingCommunity https://t.co/XEwSrrvNyr",en,"Virginia Beach, VA"
Lukeimapoem,"SET UR OWN PRICE #LoveBooks Click&gt;https://t.co/olqckMzWMh   Chase, dealing w #schizophrenia #bipolar #addiction &amp; #alcoholism must go on a Quest to save his unborn daughter by tossing his brain into the fire of Sain.  #Urbanfantasy #Fantasy #Romance #amreading #writingcommmunity https://t.co/RGbJLjHf4W",en,"Virginia Beach, VA"
Lukeimapoem,"SET UR OWN PRICE #LoveBooks Click&gt;https://t.co/olqckMzWMh   Chase, dealing w #schizophrenia #bipolar #addiction &amp; #alcoholism must go on a Quest to save his unborn daughter by tossing his brain into the fire of Sain.  #Urbanfantasy #Fantasy #Romance #amreading #writingcommmunity https://t.co/EXPQk79LOx",en,"Virginia Beach, VA"
Lukeimapoem,"Sound of  Mind- #Adventures in #Schizophrenia by Prof Mustard 
https://t.co/pcM0MkUK5j #Bipolar #MentalHealth #MentalHealthAwareness #mentalhealthinfocus #MentalHealthMatters #mentalillnessmeans #mentalillness #bookbuzz #BookBoost #books #amwriting #WritingCommmunity #mustreads https://t.co/kMH2zG8FxB",en,"Virginia Beach, VA"
Lukeimapoem,Seducing Medusa by Prof. Mustard #NEW SET UR PRICE #BOOKS Click&gt;https://t.co/olqckMzWMh #Schizophrenia #Bipolar #MentalHealth #MentalHealthAwareness #mentalhealthinfocus #MentalHealthMatters #alcoholism #mentalillness #bookbuzz #BookBoost #Romance #urbanfantasy #amwriting #readme https://t.co/qlRy2Mvb9f,en,"Virginia Beach, VA"
MrGregBlackman,"I stopped ranting on Facebook and started doing it on stage. Judge the results for yourself at https://t.co/gVwEk3ximk
#mentalhealth #bipolar #spokenword #gregblackman https://t.co/GVpGA0gYHc",en,United Kingdom
jesdeh2o,"Bipolar Daily Goals 
?Take meds 
?Put fan in window
?Eat
?Writing stuff
?Not tell at the kids outside 

The kids are complaining it's too hot out. It's only 78*F. Kids are spoiled today &amp; think they need air conditioner. 

#bipolar #anxiety #mentalhealth",en,"Iowa, USA"
ShawnParker2013,Can Bipolar Disorder be confused with ADHD? https://t.co/QCkWecLA3x #bipolar #ADHD #mentalhealth #parenting,en,"Toronto, Ontario"
Toon_Camerados,RT @CompassionMH: Come and find out about peer approaches to #MentalHealth from Sascha @Mps2thOtherSide known by some as Scatter - planting seeds of community &amp; connection #bipolar #madsanity https://t.co/5qTtUlFZHU,en,"North East, England"
OnlyUsCampaign,RT @CompassionMH: Come and find out about peer approaches to #MentalHealth from Sascha @Mps2thOtherSide known by some as Scatter - planting seeds of community &amp; connection #bipolar #madsanity https://t.co/5qTtUlFZHU,en,London
affective_now,"More often than not, the best thing you can do to help someone is #listen .
#mentalhealth #mentalillness #support #MentalHealthAwareness #EndTheStigma  #wellbeing #psychoticdisorders #schizoaffectivedisorder #treatment #advocate #staystrong #mooddisorders #bipolar #brainillnes &lt;3 https://t.co/XhzQCHsSSi",en,"Maine, USA"
HealthyPlace,"What Do #MentalHealth Hospitals Do and Do I Need One? || https://t.co/4cz3BKpnWY
==
#depression #anxiety #bipolar #schizophrenia #mhchat #mhsm https://t.co/5mr9byZNJ4",en,Texas
lonewolfpackco,We’ll be at Tynemouth Market again tomorrow before a week or two off. Come down and visit us ? | #thelonewolfpack #lonewolf #mentalhealth #mentalhealthawareness #mentalillness #depression #anxiety #bipolar #anorexia… https://t.co/wIwkGXjuLt,en,"North East, England"
tcpasquini,RT @MiaStJohnBoxer: SPEAKING OUT ?Serious #Mentalillness is often overlooked &amp; swept under the rug. Let’s EDUCATE #schizophrenia #Bipolar #Addiction #Suicide Know signs &amp; symptoms so we can have treatment before tragedy #Parkland #Aurora #Arizona #Newtown Ty @LACDMH @MarielHemingway @madchenamick https://t.co/sIVdZsajQ1,en,"Contra Costa, California"
EsKarenq,RT @Jaryoficial: Ya escucharon #Bipolar en Spotify? Etiquétenme en sus capturas y videos escuchando la canción en @SpotifyMexico y los estaré compartiendo! #JaryFranco https://t.co/fL5tnNsQbC,es,"Tulancingo de Bravo, Hidalgo"
pigletish,"RT @BekaLombardo: #ICYMI Here is the link from our show today with @HopeVirgo and @RealMissAnxiety 
We hope you'll check it out if you haven't yet! 
https://t.co/1sbusNT5QD

#KeepTalkingMH #bipolar #depression #anxiety #mentalillness #suicideprevention #endthestigma #MentalHealthAwarenessMonth",en,"Cardiff, Wales"
HealthyPlace,"The Feeling of Being Alone and #Depression || https://t.co/06tsbOkdRk
==
#mentalhealth #mdd #bipolar #mhsm #mhchat https://t.co/tjaVuWrzSr",en,Texas
CarlDerrig,RT @MiaStJohnBoxer: SPEAKING OUT ?Serious #Mentalillness is often overlooked &amp; swept under the rug. Let’s EDUCATE #schizophrenia #Bipolar #Addiction #Suicide Know signs &amp; symptoms so we can have treatment before tragedy #Parkland #Aurora #Arizona #Newtown Ty @LACDMH @MarielHemingway @madchenamick https://t.co/sIVdZsajQ1,en,"Manchester, England"
HealthyPlace,"Psychiatric Hospitalization: You are Neither Weak Nor Alone || https://t.co/lMWsnbyEon
#mentalhealth #schizophrenia #bipolar #depression #mhchat #mhsm https://t.co/Ua2feAItHy",en,Texas
3Spyro75,"RT @MentalHlthAware: #MentalHealthStigma #Stigma #InvisibleIllness #ButYouDontLookSick
#ItsGoodToTalk #DontSufferInSilence #MentalHealthAwareness #Depression #Anxiety #BiPolar #Stress  #PTSD #SelfDoubt  #schizophrenia #MentalHealth #Suicide #EndTheStigma  #DepressionQuotes #AnxietyAwareness ?? https://t.co/KUkIP3xRoi",ru,Belarus
gHarsha,72 and sunny in Colorado today. The weather here is a bit #bipolar like me. #memorialday #summer https://t.co/HQSu0DSIW2,en,"Boulder, CO"
love4ulot,RT @BipolArteMusic: Have you survived the BipolArte experience? ??????#life #love #passion #music #tour #rockstar #BipolArte #Bipol #Arte #Bipol-Arte #mask #bipolar https://t.co/WdxII168uQ,en,"New Delhi, India"
BipolArteMusic,Have you survived the BipolArte experience? ??????#life #love #passion #music #tour #rockstar #BipolArte #Bipol #Arte #Bipol-Arte #mask #bipolar https://t.co/WdxII168uQ,en,Los Angeles
TheFaithWall,"RT @theflawedones: Out of all the things you will regret in life I promise you, not giving up will never be one. Keep grinding #motivation #mentalhealthawareness #sobriety #consciousness #bipolar #depression #addiction #sicknotweak #anxiety #mentalillness #mentalhealth https://t.co/Bb20XAcxKJ",en,Safe in God's protection
HealthyPlace,"3 Tips for Being Honest in #Therapy || https://t.co/QPN0y5ecLo
==
#mentalhealth #depression #anxiety #bipolar #mhsm #mhchat https://t.co/0W5G7wAean",en,Texas
Candiedcandies,"My boyfriend expected my crash after having to be on the receiving end of my mania.

#bipolar #MentalHealth #MentalHealthAwareness #MentalHealth254 #Manics",en,"Dubai, United Arab Emirates"
Candiedcandies,"I buy things I don't need, in order to feel something. 
#seasonal #depression #bipolar #mania #Aftermath",en,"Dubai, United Arab Emirates"
BipolarSANH,"RT @MHIIR_14: #mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en,Worldwide
MadParrotLady,"RT @MHIIR_14: #mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en,U.K
NeuroGen_Tech,RT @dafil: GWAS study reported 20 newly identified loci. Total genomewide significant loci is now 30. #bipolar #genetic #GWAS https://t.co/c8JvoEYt2V,en,"Dhaka, Bangladesh"
CMEInstitute,"Read this Brief Report to discover the most effective treatment strategies to help young patients &amp; families learn to control &amp; cope w/ their #bipolar disorder, particularly episodes of depression, as they advance towards adulthood.  https://t.co/4w0RWo18DG https://t.co/J0jwUt1iiC",en,"Memphis, TN"
lmmother,What did Winston Churchill and Bette Davis have in common? https://t.co/FnUQwdd3Ar via @wordpressdotcom#WW11#Winston Churchill #Bipolar #stoke #Emma Bailey #Tough #Artists #music #Vintage #James Bond #Roger Moore #Ceramics #Mugs #Boris Johnson #news #Fashion#Money #power#sex #,en,Norton Grange
Phoenix5432100,"@greywulf Oh it’s me every day, trust me. Some days I just manage to hide it better. #Bipolar #Aspergers #OCD #PhysicalIllHealthProblems",en,"Nr. Longleat, UK"
johngimblett,"Yep, many of these https://t.co/0QLRjijNbv #quetiapine #bipolar",en,#NewportNoir
BekaLombardo,"#ICYMI Here is the link from our show today with @HopeVirgo and @RealMissAnxiety 
We hope you'll check it out if you haven't yet! 
https://t.co/1sbusNT5QD

#KeepTalkingMH #bipolar #depression #anxiety #mentalillness #suicideprevention #endthestigma #MentalHealthAwarenessMonth",en,www.voices-for-change.net
HealthyPlace,"#MentalHealth Hospitalization #Stigma: Remember Your Worth || https://t.co/kWJbf7y7x5
==
#schizophrenia #bipolar #depression #mhsm #mhchat https://t.co/ymiXLmA895",en,Texas
theflawedones,"Out of all the things you will regret in life I promise you, not giving up will never be one. Keep grinding #motivation #mentalhealthawareness #sobriety #consciousness #bipolar #depression #addiction #sicknotweak #anxiety #mentalillness #mentalhealth https://t.co/Bb20XAcxKJ",en,"Tampa, FL"
grumpygrl2,Is it Sunday yet I’m patiently waiting for another State of Mind talk from @MauriceBenard #Bipolar #anxiety #depression your talks are so helpful means ? to me #inspirational #NeverGiveUp #faceyourfears Sunday can’t come quick enough #helpingothers #1actor #advocate #mentor https://t.co/DAh4SG5vfe,en,Milwaukee Wisconsin
Elizabe80927928,"RT @HealthyPlace: How to Handle People Who Stigmatize #MentalHealth || https://t.co/h1FESwLNde
==
#stigma #depression #anxiety #bipolar #mhsm #mhchat",en,Texas 
HealthyPlace,"How to Handle People Who Stigmatize #MentalHealth || https://t.co/h1FESwLNde
==
#stigma #depression #anxiety #bipolar #mhsm #mhchat",en,Texas
johngimblett,It's two weeks after I reduced my dose of one of #quetiapine (from 600mg to 400mg) and my sleep is totally f£$%^d and I'm shaking like a leaf :( #bipolar,en,#NewportNoir
