User,Tweet,Language
WUVvYsOEakdhQGs,"RT @jeffhalevy: Sorry to ruin your beers &amp; BBQ weekend...but #PTSD, #suicide, #depression &amp; #addiction are real problems for our #veterans and their families.
-
We treat our celebrities infinitely better than those who put their life at risk for our freedom to worship t… https://t.co/mRhU2sTw4W https://t.co/ePK3jwpRfQ",en
zedsmiles,"RT @refugeingrief: Telling people to suck it up, move on, put it behind you, pretend you're happy has created epidemics of #addiction, #depression, &amp; #suicidality. It seems counterintuitive, but true comfort in #grief is in acknowledging the #pain, not in trying to make it go away. #griefrevolution https://t.co/nesJOR5J9m",en
CindyMarie1956,"RT @AubreeAdams4: @axios I believe marijuana is one of the main factors driving the #suicide rate up. If you’re suffering from #depression, please don’t believe the legal liars. Marijuana will make your depression worse and can cause #psychosis. Please talk to a doctor and not a bud tender.",en
LizABee_gfx,"https://t.co/pvjukIO5R1
.
.
.
.
 #BrokenDollGamers #MysticMooners #BeautyGamers #jokerswild #PrimeGamers #bethelight  #chroniclyme #ChronicPain #makekratomlegal #fibromyalgia #Gamer #invisableillness #depression #anxiety #butyoudontlooksick #sickofbeingsick #chronicallyfab #cbd https://t.co/QqtlenkD0k",en
TheShow_On_Air,dont.ask.rajah.t michael_landsberg @bell_letstalk @bell_mobility @cp24breakfast @ctvnews @mapleleafs @camh #sicknotweak #ptsd #veteran #metoo #depression #mentalhealth #awareness #picoftheday #survivor #military… https://t.co/QW7qgemtO2,en
Swimcruiserun,"RT @colleenmfarrell: Thrilled to share my first @JAMA_current essay. A personal story of my experience with #depression in medical school, and how the metaphor of diastole helped me heal. 

#meded #mentalhealth #seizediastole  

https://t.co/tJ3q2GSVNS",en
SS_Final,Cultivate supportive relationships in order to end #depression,en
victorBiii,RT @ChildrensColo: Parents may be able to prevent future #anxiety and #depression by helping their kids learn to manage #stress early. See what our experts suggest: https://t.co/Qtqt1z1rEx,en
Koulnis,Man. This is real. #depression https://t.co/6KT1sahv8u,en
ramonakell20,"RT @jeffhalevy: Sorry to ruin your beers &amp; BBQ weekend...but #PTSD, #suicide, #depression &amp; #addiction are real problems for our #veterans and their families.
-
We treat our celebrities infinitely better than those who put their life at risk for our freedom to worship t… https://t.co/mRhU2sTw4W https://t.co/ePK3jwpRfQ",en
vitaspicio,"In the end, it’s about “You” realising your worth rather than running for approval. You can choose defeat and lay down your arms or you can see every defeat as a lesson towards success and tread on tireless, till the deed is done… https://t.co/Y1bSj3czkc #Hope #faith #depression https://t.co/Rw18F1SbTL",en
b0ng_m1lk,"If you self-diagnose mental illnesses you deserve to be hit by a truck 

#depression #anxiety #fake",en
DonkeyButtJM,#universe #faith #deepthinking #deepakchopra #ghandi #thoughts #wisdom #depression #instaquotes #iwonder #intuition #lifequotes #lifeadvice #lifepath #itsinthestars https://t.co/8ZVvbpidAw,en
BekaLombardo,"I have to feel better tomorrow, this shit is getting ridiculous. Wish me luck!!

#KeepTalkingMH #mentalhealth #depression #mentalillness #anxiety #bipolar #anxiety #Migraines",en
KaTurmaine,"RT @stopsuicide1: #Danser, le meilleur des anti-dépresseurs ?
""Les danseurs le savent d’expérience, la #science le dit maintenant aussi : la danse favorise la socialisation, le #dialogue, la gestion des #emotions et le développement de l’empathie"". #mentalhealth #depression https://t.co/Qvj7LvRqCe https://t.co/0I462txfmp",en
DonkeyButtJM,#mood #depression #thoughts #feelings #lifequotes #itdepends #different #quotes #instaquotes #crystals #reiki #healing #poetry #universe #peoplechange https://t.co/eoheCUxmKM,en
OutStorms,"Good affirmation, but it's something I need to work on believing. #depression #anxiety #KeepTalkingMH #EndTheStigma #SickNotWeak 

""My value is NOT determined or reflected by how others treat me."" https://t.co/ZcrB3C7Qlk",en
health_fight,"Summer can be be worst social media season...especially when you’re not at the pool, lake or beach. Focus on living your best life #MentalHealthAwarenessMonth #selfcare #mentalhealth #depression https://t.co/JA5ktrHrOI",en
